week,facebook_spend,google_spend,influencer_spend,tv_spend,promo_discount_percent,zomato_orders
2023-01-01,164.9,193.55,90.3,349.52,5,6414
2023-01-08,145.85,216.16,157.05,348.81,10,6661
2023-01-15,169.43,275.45,91.42,378.33,5,6502
2023-01-22,195.69,206.98,102.71,301.26,10,6529
2023-01-29,142.98,210.3,99.08,340.92,5,6348
2023-02-05,142.98,197.02,93.03,281.38,5,6224
2023-02-12,197.38,123.25,73.69,319.45,10,6426
2023-02-19,173.02,198.94,95.18,292.19,0,6348
2023-02-26,135.92,202.41,64.54,305.82,0,6090
2023-03-05,166.28,298.53,75.26,335.71,0,6472
2023-03-12,136.1,192.31,70.29,250.91,10,6317
2023-03-19,136.03,212.06,81.64,425.54,5,6474
2023-03-26,157.26,198.61,126.29,239.64,10,6478
2023-04-02,92.6,153.25,42.65,227.15,0,5837
2023-04-09,98.25,245.71,93.73,369.49,0,6340
2023-04-16,133.13,230.08,47.75,347.5,0,6190
2023-04-23,119.62,231.64,70.56,337.45,0,6262
2023-04-30,159.43,163.62,101.78,337.7,5,6372
2023-05-07,122.76,256.11,81.29,299.27,0,6252
2023-05-14,107.63,143.93,58.45,246.16,0,5872
2023-05-21,193.97,223.47,65.69,304.55,15,6613
2023-05-28,143.23,287.62,93.59,259.37,0,6342
2023-06-04,152.03,160.38,65.39,358.51,5,6285
2023-06-11,107.26,177.35,84.33,291.18,10,6249
2023-06-18,133.67,203.99,80.91,250.47,0,6072
2023-06-25,153.33,179.86,66.97,280.72,5,6209
2023-07-02,115.47,137.97,122.88,324.78,10,6245
2023-07-09,161.27,202.74,92.68,266.18,15,6517
2023-07-16,131.98,157.51,39.5,250.67,0,5808
2023-07-23,141.25,218.94,83.73,314.62,15,6532
2023-07-30,131.95,163.22,66.76,314.7,0,5928
2023-08-06,205.57,262.0,97.05,269.58,0,6166
2023-08-13,149.6,168.67,64.15,271.74,0,5844
2023-08-20,118.27,187.12,77.71,313.92,15,6361
2023-08-27,174.68,232.54,90.1,213.11,0,6063
2023-09-03,113.37,150.77,97.32,215.55,0,5778
